state,year,name,number_of_co_cs,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,sheltered_homeless_individuals,unsheltered_homeless_individuals,homeless_people_in_families,sheltered_homeless_people_in_families,unsheltered_homeless_people_in_families,price,population,unemployment
AK,2014,Alaska,2,1784,1639,145,1209,1109,100,575,530,45,912.75,736759,6.9
AK,2015,Alaska,2,1956,1639,317,1342,1084,258,614,555,59,912.9166667,737979,6.5
AK,2016,Alaska,2,1940,1498,442,1527,1089,438,413,409,4,892.625,741522,6.9
AK,2017,Alaska,2,1845,1551,294,1354,1060,294,491,491,0,878.625,739795,7.2
AL,2014,Alabama,8,4561,3518,1043,3115,2373,742,1446,1145,301,602.4583333,4840037,6.8
AL,2015,Alabama,8,3970,2943,1027,2868,2076,792,1102,867,235,605.875,4850858,6.1
AL,2016,Alabama,8,4111,2893,1218,3019,2017,1002,1092,876,216,610.8333333,4860545,5.9
AL,2017,Alabama,8,3793,2656,1137,2985,1950,1035,808,706,102,625.7916667,4874747,4.4
AR,2014,Arkansas,6,2936,1503,1433,2303,1070,1233,633,433,200,528.0416667,2964800,6
AR,2015,Arkansas,7,2560,1678,882,1833,1089,744,727,589,138,532.4583333,2975626,5
AR,2016,Arkansas,7,2463,1616,847,1838,1140,698,625,476,149,536.0416667,2988231,3.9
AR,2017,Arkansas,6,2467,1273,1194,2068,937,1131,399,336,63,544.4166667,3004279,3.7
AZ,2014,Arizona,3,10495,7926,2569,6194,3851,2343,4301,4075,226,665.2083333,6706435,6.8
AZ,2015,Arizona,3,9896,6939,2957,6548,3824,2724,3348,3115,233,690.7083333,6802262,6.1
AZ,2016,Arizona,3,9707,6463,3244,6659,3564,3095,3048,2899,149,714.6666667,6908642,5.4
AZ,2017,Arizona,3,8947,5781,3166,6488,3423,3065,2459,2358,101,744.4166667,7016270,4.9
CA,2014,California,40,113952,42515,71437,90765,24857,65908,23187,17658,5529,1132.708333,38701278,7.5
CA,2015,California,43,115738,42039,73699,93156,24843,68313,22582,17196,5386,1202.25,39032444,6.2
CA,2016,California,43,118142,39752,78390,97660,23720,73940,20482,16032,4450,1257.833333,39296476,5.5
CA,2017,California,43,134278,42636,91642,112756,25022,87734,21522,17614,3908,1308.875,39536653,4.8
CO,2014,Colorado,3,10028,8083,1945,5573,4035,1538,4455,4048,407,799.9166667,5342311,5
CO,2015,Colorado,3,9953,7134,2819,5729,3739,1990,4224,3395,829,863.2916667,5440445,3.9
CO,2016,Colorado,3,10550,7611,2939,6450,4352,2098,4100,3259,841,902.75,5530105,3.3
CO,2017,Colorado,3,10940,7081,3859,7571,4719,2852,3369,2362,1007,929.75,5607154,2.8
CT,2014,Connecticut,6,4450,3531,919,3069,2243,826,1381,1288,93,939.7083333,3600188,6.6
CT,2015,Connecticut,3,4047,3421,626,2719,2124,595,1328,1297,31,957,3593862,5.7
CT,2016,Connecticut,2,3902,3229,673,2570,1903,667,1332,1326,6,971.5,3587685,5.1
CT,2017,Connecticut,2,3388,2972,416,2208,1796,412,1180,1176,4,983.0833333,3588184,4.7
DC,2014,Washington DC,1,7748,7352,396,3953,3557,396,3795,3795,0,1375.666667,660797,0
DC,2015,Washington DC,1,7298,6754,544,3821,3277,544,3477,3477,0,1382.416667,672736,0
DC,2016,Washington DC,1,8350,8032,318,3683,3365,318,4667,4667,0,1426.125,684336,0
DC,2017,Washington DC,1,7473,6576,897,3583,2686,897,3890,3890,0,1427.416667,693972,0
DE,2014,Delaware,1,901,864,37,584,554,30,317,310,7,833.625,934805,5.7
DE,2015,Delaware,1,953,916,37,602,565,37,351,351,0,851.4166667,944107,4.9
DE,2016,Delaware,1,1070,1019,51,753,702,51,317,317,0,879.0416667,952698,4.5
DE,2017,Delaware,1,994,936,58,615,563,52,379,373,6,899.9583333,961939,4.6
FL,2014,Florida,28,41542,19851,21691,28730,12886,15844,12812,6965,5847,788.875,19897747,6.3
FL,2015,Florida,27,35900,18883,17017,26325,12033,14292,9575,6850,2725,826.7083333,20268567,5.5
FL,2016,Florida,27,33559,18198,15361,24201,11641,12560,9358,6557,2801,851.375,20656589,4.8
FL,2017,Florida,27,32190,17111,15079,22768,10931,11837,9422,6180,3242,876.625,20984400,4.2
GA,2014,Georgia,9,16521,8214,8307,12403,4932,7471,4118,3282,836,718.5416667,10083850,7.1
